split,model,CCC,PCC,MAE,MSE
VAL,MLP,-0.03875841572880745,-0.2534102499485016,0.5551432967185974,0.4604285657405853
VAL,LSTM,9.739935524777366e-10,0.09358203411102295,0.5267278552055359,0.4242507815361023
VAL,GRU,5.605939712438612e-09,0.2821250855922699,0.5285316109657288,0.4264739155769348
VAL,CNN1D,0.011946963146328926,0.21179352700710297,0.5314661264419556,0.4312181770801544
TEST,MLP,0.07224933803081512,0.27925050258636475,0.568437933921814,0.4280690550804138
TEST,LSTM,4.335396262502471e-16,1.6192428731187647e-08,0.6122286319732666,0.45525938272476196
TEST,GRU,6.500192384351067e-09,0.29999369382858276,0.623493492603302,0.44755274057388306
TEST,CNN1D,-0.0400882326066494,-0.6852854490280151,0.6363223195075989,0.4660021960735321
